iso3,country_name,temp_group,mean_TXx,degree,betweenness,closeness,eigenvector
SVN,Slovenia,HIGH,34.316205392476,0.8461538461538463,0.15076923076923077,0.9274382478509992,0.3141033575402749
ISL,Iceland,LOW,19.561389817045363,0.42307692307692313,0.11384615384615385,0.6901872788669049,0.17379802503162908
HUN,Hungary,HIGH,34.4362131694166,0.6538461538461539,0.09230769230769231,0.7968487456458078,0.23025757067361602
EST,Estonia,LOW,29.18794041469352,0.6538461538461539,0.07692307692307693,0.8000516148352982,0.2581488051389236
ESP,Spain,HIGH,37.5860164259523,0.46153846153846156,0.052307692307692305,0.7044239306008465,0.17036622292312825
FRA,France,HIGH,34.71537494639422,0.5384615384615385,0.052307692307692305,0.7391120862463676,0.21382291135463544
SVK,Slovakia,HIGH,34.18447706829043,0.42307692307692313,0.03692307692307692,0.6840237383985462,0.15267050953644604
PRT,Portugal,HIGH,37.941055106593716,0.5384615384615385,0.01846153846153846,0.735366925428228,0.19282201657062892
BGR,Bulgaria,HIGH,36.30302321339115,0.46153846153846156,0.012307692307692308,0.6956351625033071,0.16173588692789265
POL,Poland,LOW,32.895977354350954,0.576923076923077,0.012307692307692308,0.7521261399330844,0.20284584633466118
LTU,Lithuania,LOW,30.78710787854369,0.5,0.012307692307692308,0.7125532715945468,0.17935086502694475
CZE,Czechia,HIGH,33.759374782284866,0.2692307692307693,0.006153846153846154,0.6195732901328354,0.11492068225011648
DNK,Denmark,LOW,30.563736974564748,0.5,0.006153846153846154,0.6515004819804366,0.2079609076345907
DEU,Germany,LOW,33.545070404250836,0.5384615384615385,0.006153846153846154,0.6623274044803288,0.21774679990478102
FIN,Finland,LOW,28.035916999294997,0.46153846153846156,0.006153846153846154,0.6382167662535401,0.19269197781085917
ROU,Romania,HIGH,35.05175222115874,0.42307692307692313,0.003076923076923077,0.564286847885574,0.13864376627142952
ITA,Italy,HIGH,34.97972259068534,0.42307692307692313,0.003076923076923077,0.5607316541230367,0.13983813775409518
AUT,Austria,HIGH,33.946101386204504,0.5,0.0,0.6429893498193443,0.21067916666648767
BEL,Belgium,HIGH,33.657574474811554,0.5384615384615385,0.0,0.7321038764312061,0.21935993622051292
GBR,United Kingdom,LOW,28.138989422453125,0.42307692307692313,0.0,0.6176587950566687,0.17850790973771247
GRC,Greece,HIGH,36.74129166936665,0.34615384615384615,0.0,0.5456522379653598,0.11444656097045931
HRV,Croatia,HIGH,34.77453206299487,0.38461538461538464,0.0,0.5450084721787073,0.1301356471756589
IRL,Ireland,LOW,26.605499241284523,0.42307692307692313,0.0,0.6161466167015885,0.17870605193596414
LVA,Latvia,LOW,29.671598599803062,0.5,0.0,0.7094176522753264,0.18043443761805306
NOR,Norway,LOW,24.89795016063936,0.46153846153846156,0.0,0.6365106882167847,0.19322507524310312
NLD,Netherlands,LOW,33.09558956535945,0.5,0.0,0.6510446205405556,0.20817628368712948
SWE,Sweden,LOW,27.98441865307733,0.46153846153846156,0.0,0.6355289272102651,0.19345550570984862
