iso3,country_name,year,pathogen,antibiotic,resistance_rate
AUT,Austria,2012,Escherichia coli,Fluoroquinolones,20.55401662
AUT,Austria,2012,Escherichia coli,Third-generation cephalosporins,8.6522911
AUT,Austria,2012,Klebsiella pneumoniae,Carbapenems,0.81300813
AUT,Austria,2012,Klebsiella pneumoniae,Fluoroquinolones,15.4402895
AUT,Austria,2012,Klebsiella pneumoniae,Third-generation cephalosporins,11.75785797
AUT,Austria,2012,Pseudomonas aeruginosa,Carbapenems,14.59074733
AUT,Austria,2012,Staphylococcus aureus,Meticillin (MRSA),8.04066543
AUT,Austria,2013,Acinetobacter spp.,Carbapenems,7.84313725
AUT,Austria,2013,Enterococcus faecium,Aminopenicillins,92.13759213
AUT,Austria,2013,Escherichia coli,Carbapenems,0.02349072
AUT,Austria,2013,Escherichia coli,Fluoroquinolones,21.96774947
AUT,Austria,2013,Escherichia coli,Third-generation cephalosporins,9.84917733
AUT,Austria,2013,Klebsiella pneumoniae,Carbapenems,1.2087912
AUT,Austria,2013,Klebsiella pneumoniae,Fluoroquinolones,15.78378378
AUT,Austria,2013,Klebsiella pneumoniae,Third-generation cephalosporins,10.73326248
AUT,Austria,2013,Pseudomonas aeruginosa,Carbapenems,12.33766233
AUT,Austria,2013,Staphylococcus aureus,Meticillin (MRSA),9.11602209
AUT,Austria,2014,Acinetobacter spp.,Carbapenems,6.41025641
AUT,Austria,2014,Enterococcus faecium,Aminopenicillins,93.25842696
AUT,Austria,2014,Escherichia coli,Carbapenems,0.02173913
AUT,Austria,2014,Escherichia coli,Fluoroquinolones,19.81904351
AUT,Austria,2014,Escherichia coli,Third-generation cephalosporins,9.3690652
AUT,Austria,2014,Klebsiella pneumoniae,Carbapenems,0.61791967
AUT,Austria,2014,Klebsiella pneumoniae,Fluoroquinolones,10.40164778
AUT,Austria,2014,Klebsiella pneumoniae,Third-generation cephalosporins,8.23293172
AUT,Austria,2014,Pseudomonas aeruginosa,Carbapenems,12.73584905
AUT,Austria,2014,Staphylococcus aureus,Meticillin (MRSA),7.73293096
AUT,Austria,2015,Acinetobacter spp.,Carbapenems,9.375
AUT,Austria,2015,Enterococcus faecium,Aminopenicillins,91.47982062
AUT,Austria,2015,Escherichia coli,Carbapenems,0.0210084
AUT,Austria,2015,Escherichia coli,Fluoroquinolones,20.02911813
AUT,Austria,2015,Escherichia coli,Third-generation cephalosporins,9.67346938
AUT,Austria,2015,Klebsiella pneumoniae,Carbapenems,0.78277886
AUT,Austria,2015,Klebsiella pneumoniae,Fluoroquinolones,11.66180758
AUT,Austria,2015,Klebsiella pneumoniae,Third-generation cephalosporins,8.38095238
AUT,Austria,2015,Pseudomonas aeruginosa,Carbapenems,12.20588235
AUT,Austria,2015,Staphylococcus aureus,Meticillin (MRSA),7.43267504
AUT,Austria,2016,Acinetobacter spp.,Carbapenems,12.34567901
AUT,Austria,2016,Enterococcus faecium,Aminopenicillins,91.24236252
AUT,Austria,2016,Escherichia coli,Carbapenems,0.01947798
AUT,Austria,2016,Escherichia coli,Fluoroquinolones,19.83705949
AUT,Austria,2016,Escherichia coli,Third-generation cephalosporins,10.00569584
AUT,Austria,2016,Klebsiella pneumoniae,Carbapenems,0.66777963
AUT,Austria,2016,Klebsiella pneumoniae,Fluoroquinolones,9.79133226
AUT,Austria,2016,Klebsiella pneumoniae,Third-generation cephalosporins,9.55823293
AUT,Austria,2016,Pseudomonas aeruginosa,Carbapenems,12.93103448
AUT,Austria,2016,Staphylococcus aureus,Meticillin (MRSA),7.20602685
AUT,Austria,2017,Acinetobacter spp.,Carbapenems,6.66666666
AUT,Austria,2017,Enterococcus faecium,Aminopenicillins,90.98939929
AUT,Austria,2017,Escherichia coli,Carbapenems,0.01913143
AUT,Austria,2017,Escherichia coli,Fluoroquinolones,20.45835662
AUT,Austria,2017,Escherichia coli,Third-generation cephalosporins,9.63150711
AUT,Austria,2017,Klebsiella pneumoniae,Carbapenems,0.99188458
AUT,Austria,2017,Klebsiella pneumoniae,Fluoroquinolones,14.21098517
AUT,Austria,2017,Klebsiella pneumoniae,Third-generation cephalosporins,8.58208955
AUT,Austria,2017,Pseudomonas aeruginosa,Carbapenems,13.93103448
AUT,Austria,2017,Staphylococcus aureus,Meticillin (MRSA),5.92146928
AUT,Austria,2018,Acinetobacter spp.,Carbapenems,4.39560439
AUT,Austria,2018,Enterococcus faecium,Aminopenicillins,88.56589147
AUT,Austria,2018,Escherichia coli,Carbapenems,0.07189072
AUT,Austria,2018,Escherichia coli,Fluoroquinolones,21.8524388
AUT,Austria,2018,Escherichia coli,Third-generation cephalosporins,10.20803949
AUT,Austria,2018,Klebsiella pneumoniae,Carbapenems,1.01351351
AUT,Austria,2018,Klebsiella pneumoniae,Fluoroquinolones,13.18591318
AUT,Austria,2018,Klebsiella pneumoniae,Third-generation cephalosporins,8.35380835
AUT,Austria,2018,Pseudomonas aeruginosa,Carbapenems,12.77173913
AUT,Austria,2018,Staphylococcus aureus,Meticillin (MRSA),6.3804052
BEL,Belgium,2000,Staphylococcus aureus,Meticillin (MRSA),20.8523592
BEL,Belgium,2001,Enterococcus faecium,Aminopenicillins,
BEL,Belgium,2001,Escherichia coli,Fluoroquinolones,8.90052356
BEL,Belgium,2001,Escherichia coli,Third-generation cephalosporins,1.8018018
BEL,Belgium,2001,Staphylococcus aureus,Meticillin (MRSA),22.52922422
BEL,Belgium,2002,Enterococcus faecium,Aminopenicillins,56.41025641
BEL,Belgium,2002,Escherichia coli,Fluoroquinolones,13.23529411
BEL,Belgium,2002,Escherichia coli,Third-generation cephalosporins,2.79424216
BEL,Belgium,2002,Staphylococcus aureus,Meticillin (MRSA),28.29670329
BEL,Belgium,2003,Enterococcus faecium,Aminopenicillins,
BEL,Belgium,2003,Escherichia coli,Fluoroquinolones,11.56685808
BEL,Belgium,2003,Escherichia coli,Third-generation cephalosporins,3.49544072
BEL,Belgium,2003,Staphylococcus aureus,Meticillin (MRSA),29.4792586
BEL,Belgium,2004,Enterococcus faecium,Aminopenicillins,63.41463414
BEL,Belgium,2004,Escherichia coli,Fluoroquinolones,15.37884471
BEL,Belgium,2004,Escherichia coli,Third-generation cephalosporins,2.64650283
BEL,Belgium,2004,Staphylococcus aureus,Meticillin (MRSA),33.25183374
BEL,Belgium,2005,Enterococcus faecium,Aminopenicillins,60.97560975
BEL,Belgium,2005,Escherichia coli,Fluoroquinolones,16.83778234
BEL,Belgium,2005,Escherichia coli,Third-generation cephalosporins,3.61445783
BEL,Belgium,2005,Staphylococcus aureus,Meticillin (MRSA),31.39312977
BEL,Belgium,2006,Enterococcus faecium,Aminopenicillins,67.34693877
BEL,Belgium,2006,Escherichia coli,Fluoroquinolones,19.36936936
BEL,Belgium,2006,Escherichia coli,Third-generation cephalosporins,2.91021671
BEL,Belgium,2006,Staphylococcus aureus,Meticillin (MRSA),21.91142191
BEL,Belgium,2007,Enterococcus faecium,Aminopenicillins,68.18181818
BEL,Belgium,2007,Escherichia coli,Fluoroquinolones,19.16726489
BEL,Belgium,2007,Escherichia coli,Third-generation cephalosporins,3.92832529
BEL,Belgium,2007,Staphylococcus aureus,Meticillin (MRSA),23.2748538
BEL,Belgium,2008,Enterococcus faecium,Aminopenicillins,75.86206896
BEL,Belgium,2008,Escherichia coli,Fluoroquinolones,16.8429003
BEL,Belgium,2008,Escherichia coli,Third-generation cephalosporins,4.18736692
BEL,Belgium,2008,Staphylococcus aureus,Meticillin (MRSA),20.6401766
BEL,Belgium,2009,Enterococcus faecium,Aminopenicillins,89.5522388
BEL,Belgium,2009,Escherichia coli,Fluoroquinolones,19.94680851
BEL,Belgium,2009,Escherichia coli,Third-generation cephalosporins,6.45363408
BEL,Belgium,2009,Klebsiella pneumoniae,Carbapenems,1.20481927
BEL,Belgium,2009,Klebsiella pneumoniae,Fluoroquinolones,13.38028169
BEL,Belgium,2009,Klebsiella pneumoniae,Third-generation cephalosporins,14.78873239
BEL,Belgium,2009,Pseudomonas aeruginosa,Carbapenems,8.95522388
BEL,Belgium,2009,Staphylococcus aureus,Meticillin (MRSA),21.07481559
BEL,Belgium,2010,Enterococcus faecium,Aminopenicillins,87.80487804
BEL,Belgium,2010,Escherichia coli,Carbapenems,0.0
BEL,Belgium,2010,Escherichia coli,Fluoroquinolones,21.54882154
BEL,Belgium,2010,Escherichia coli,Third-generation cephalosporins,5.17418032
BEL,Belgium,2010,Klebsiella pneumoniae,Carbapenems,0.0
BEL,Belgium,2010,Klebsiella pneumoniae,Fluoroquinolones,12.5
BEL,Belgium,2010,Klebsiella pneumoniae,Third-generation cephalosporins,12.58741258
BEL,Belgium,2010,Pseudomonas aeruginosa,Carbapenems,4.61538461
BEL,Belgium,2010,Staphylococcus aureus,Meticillin (MRSA),20.52980132
BEL,Belgium,2011,Enterococcus faecium,Aminopenicillins,83.33333333
BEL,Belgium,2011,Escherichia coli,Carbapenems,0.0
BEL,Belgium,2011,Escherichia coli,Fluoroquinolones,21.52719075
BEL,Belgium,2011,Escherichia coli,Third-generation cephalosporins,6.04767879
BEL,Belgium,2011,Klebsiella pneumoniae,Carbapenems,0.30959752
BEL,Belgium,2011,Klebsiella pneumoniae,Fluoroquinolones,14.93212669
BEL,Belgium,2011,Klebsiella pneumoniae,Third-generation cephalosporins,13.62275449
