iso3,country_name,Acinetobacter spp.|Carbapenems,Enterococcus faecium|Aminopenicillins,Escherichia coli|Carbapenems,Escherichia coli|Fluoroquinolones,Escherichia coli|Third-generation cephalosporins,Klebsiella pneumoniae|Carbapenems,Klebsiella pneumoniae|Fluoroquinolones,Klebsiella pneumoniae|Third-generation cephalosporins,Pseudomonas aeruginosa|Carbapenems,Staphylococcus aureus|Meticillin (MRSA)
AUT,Austria,7.83939062,88.59637596166667,0.0944550261111111,19.237700597777778,6.8918545827777775,0.48921435428571425,12.673552625,9.075320375,12.559984210714287,9.717354232105263
BEL,Belgium,3.305552585,76.82131421,0.02752192888888889,19.604144428888887,5.922714881666667,0.8472129469999998,19.111906924,17.23562842,8.425827573,19.979216501578946
BGR,Bulgaria,68.93856728428571,92.75980321071428,0.49396089666666665,30.49303853833333,28.541315582777777,3.5911475507142856,46.74437702,70.38943890857142,25.664874785384615,22.477045063157895
CZE,Czechia,8.401482545,90.78690761555555,0.033873469333333336,20.72084686111111,8.88830446,0.19130689692307692,49.255646916428574,48.17315038428571,20.324330692857142,11.57575515631579
DEU,Germany,5.8295632728571425,88.95064077722222,0.08889805055555555,20.671479570526316,6.477705371578947,0.4683137842857143,12.757355075714287,12.127332194285714,14.608398253571428,15.626838739473683
DNK,Denmark,3.375087258571429,91.22514330692307,0.05446369499999999,11.4024426,6.050854709285715,0.14950875615384615,9.801180105384615,8.831251049230769,3.3996383399999996,1.4900190568421052
ESP,Spain,62.957964331666666,76.95065004444444,0.06530084,29.58774908166667,9.55555055888889,1.1459232464285714,17.47486520214286,15.49127792,17.19439376214286,25.00781759631579
EST,Estonia,36.69227013429333,85.88232840916667,0.049164208333333334,9.458115917222223,5.727069859444445,0.32337033499999995,18.148337946428573,18.46090446857143,19.7391297,3.6706934488888887
FIN,Finland,1.3588806816666665,81.08786298055556,0.008586957777777777,9.312404315,3.793502381111111,0.10184119428571428,3.431575312857143,2.612507116428571,7.983745088571429,2.2352458563157893
FRA,France,5.311366681428572,65.30687298411765,0.017081739411764704,14.88608780117647,6.230923635882353,0.2954734664285715,23.17971938642857,21.183315889285716,16.121879795714285,22.25605916
GBR,United Kingdom,1.8732555185714286,86.35933714785713,0.09835967384615385,15.470060194999999,8.21661617,0.4528936357142857,9.156643377857142,10.243663598571429,6.347448233571428,26.757458271578948
GRC,Greece,92.51776124571428,88.50551119473684,0.7795606884210526,21.71975768263158,11.923219980526316,52.85996957785714,64.79291533714286,68.612619395,44.43902989428572,41.394100931052634
HRV,Croatia,91.98932283833334,85.007752134,0.02712545294117647,16.598725136470588,7.308849635294117,0.6748363623076923,40.098018109230765,46.89511303615385,30.155063016153846,30.228972082941173
HUN,Hungary,52.02934052714286,95.132658980625,0.059568138888888886,25.348729209444443,11.458110893333334,1.0832482514285713,34.402609760000004,36.969679357857146,27.551540122142857,21.661984141666668
IRL,Ireland,2.9311696499999997,93.43960121588236,0.018557850588235295,20.150698247058823,7.41249441117647,0.23008268357142855,12.133647116428572,11.36367836142857,8.324711341428571,29.447830063684208
ISL,Iceland,36.69227013429333,79.0,0.0,8.90917861888889,2.719529617777778,0.0,1.892857141,1.5562678049999998,19.880041607942413,0.8531871468421053
ITA,Italy,81.03987121428572,78.68609285722222,0.21698643833333334,36.25313423882353,18.51415902117647,20.603420744615384,40.85401682142857,45.36300898142857,24.03795414230769,36.73259154157895
LTU,Lithuania,82.08131145600001,94.019316867,0.0,15.783694603076924,9.53337936,0.1819689725,40.76022442461538,49.35277932461538,22.906574429166668,9.682155923846153
LVA,Latvia,75.74249635800001,91.49673087555556,0.1809954746153846,19.78325231076923,14.92766416923077,0.6639593438461537,39.35080777461538,48.696417663846155,23.496947493333334,10.749273031333333
NLD,Netherlands,2.3744092385714284,73.8001741411111,0.06679625368421052,11.317854133157894,4.151120175789474,0.1768148635714286,6.851946105000001,7.422020062142857,3.934943102857143,1.1898178836842106
NOR,Norway,1.7594537814285716,69.83879036444445,0.03826675315789473,7.480454083684211,3.090001080526316,0.19016526714285714,5.749066360714286,3.696672922142857,5.618026087857143,0.615936352631579
POL,Poland,58.235517578571425,95.43485042928572,0.076959747,22.294337540555556,8.819288227222223,1.937148859090909,50.164785675384614,56.68900724076923,26.114908915,17.594573380555556
PRT,Portugal,54.602648779999996,86.88830544823529,0.17689078333333333,27.601164112777777,11.294225105555556,3.026894945,33.28560362615384,34.826630108461536,18.610285363846153,45.00542530631579
ROU,Romania,83.90699629714285,88.81560639857142,0.6035193875,25.707826552941174,22.942180620000002,19.311337445555555,52.18919486888889,68.235257657,59.25341654,48.042398901764706
SVK,Slovakia,35.15693024,96.69984775125,0.14482426166666665,32.68922128307692,20.64434541076923,2.70328089625,67.4031808925,64.28429233,44.222515128750004,23.245298982307695
SVN,Slovenia,30.875569081428573,91.078550058125,0.004805843529411764,18.085665731666666,6.466838151666667,0.3328584614285714,27.492104509999997,24.938022673571428,18.39836459,11.262126113157894
SWE,Sweden,2.8728442916666665,79.51085635294118,0.022421538333333334,10.148160704117647,3.595663298823529,0.07237295636363637,5.750672063846154,3.195564367692308,7.447151203846153,0.9447375322222222
