iso3,year,TXx,TNx,SU,TR,WSDI,TN90p
AFG,2000,41.052835763075116,24.998218177764922,192.58634891444717,66.06166928683186,12.152803891542359,16.316345121054223
AFG,2001,42.0665390872499,26.579533915175837,198.77732317441752,68.02562941554359,20.851516697640214,19.59097369440955
AFG,2002,41.45305890416877,26.293976703519448,190.99648573874094,63.04132904709445,13.59960862178081,20.933649223588883
AFG,2003,42.13312965940341,27.047647861760474,181.7330386867574,67.7774537352602,11.766363309318795,17.827129505126354
AFG,2004,41.50766405300184,25.988708747640324,193.92936251105746,64.11692216494549,13.537770011570704,20.056109787767518
AFG,2005,43.70162494035193,26.951680683712194,187.50294209875437,69.26442122956982,6.521977444825234,18.573253600821285
AFG,2006,40.99121387574955,26.82590358846424,202.65060135250783,71.28086349451418,20.377877357798575,22.642307263063287
AFG,2007,41.02277629945123,26.755483521069955,183.0238979892081,68.88134023594301,11.588485382960668,17.742005399397915
AFG,2008,42.294281864944324,27.378482978017253,198.68165622572766,74.22728296654233,21.852616462176254,21.02145126057351
AFG,2009,41.360787728836115,25.80030695909366,180.14366470051328,64.73874301807807,8.038111622558256,20.18157248775981
AFG,2010,42.319939769752416,27.073479313770825,191.21150692268026,75.23540435520839,16.212173153451875,25.032091568394556
AFG,2011,41.20967940652981,27.36418560530395,193.5450093981909,74.54124050576077,12.914814862288502,19.719157757271052
AFG,2012,41.030989573153015,26.333981455464112,190.56357043162168,70.35912256054263,5.827406157006274,17.13808894337086
AFG,2013,41.743445089393184,27.023201399267748,187.77081865445913,72.42888012426887,22.83482800870987,20.98265136261379
AFG,2014,42.3779792291953,27.030549370993374,186.72480783273772,73.8428325359174,12.037234179727887,20.03424038495037
AFG,2015,41.09988792797028,27.718932880859434,192.80181875390173,79.84512125985141,14.669637713789912,26.136811572425174
AFG,2016,39.7401949652868,27.111944913556464,197.9598345780099,83.48690316453,31.033734600220928,27.520416609278474
AFG,2017,40.40023714870119,27.320095450076174,198.05537455449766,83.12337590426222,21.048105590081246,24.253935637018476
AFG,2018,39.94312924194687,27.9392005538329,189.92677793914143,84.87624246425972,17.83665123001215,25.01394954716282
AGO,2000,36.05909515881234,23.508757158025084,,106.2530667274052,,6.128933048312065
AGO,2001,38.723412391301075,24.544802920724926,,111.63233584865574,,8.456914165574139
AGO,2002,38.277393832590555,25.014301278047537,,120.43335207797102,,9.120716141938907
AGO,2003,38.306606650419496,27.30129623413086,,133.35127277471466,,13.09236236725994
AGO,2004,37.95480324884043,25.51584978355053,,124.22683132021568,,12.20186184423799
AGO,2005,39.16672124058079,25.621016764038654,,123.31724513284009,,13.032436829972617
AGO,2006,37.74601927061745,25.078449601833956,,118.07177794880879,,12.219134804608126
AGO,2007,38.55275118661087,25.333636039463197,,120.13845272730777,,8.907577906767134
AGO,2008,39.130478258099004,25.061588128716586,,126.46864040509824,,9.785403072528366
AGO,2009,37.57769780340904,26.38641357421875,,119.72138815781709,,11.314936001045396
AGO,2010,38.35420913714194,27.218433380126953,,109.74764005373275,,12.52232527638789
AGO,2011,39.176656055121846,,,35.99024325466393,,8.570642763936666
AGO,2012,38.10442321491041,22.426570892333984,,34.81005949984735,,10.50549491058481
AGO,2013,38.63999561391015,22.930349349975586,,29.780525937618375,,9.202639297388277
AGO,2014,37.41738601175944,22.359230041503906,,28.0113588013293,,12.455832929136438
AGO,2015,40.69423159431183,24.302139282226562,,38.93950021565361,,15.808878582695122
AGO,2016,42.59154628354466,25.001220703125,,41.45410262595831,,16.32839160853666
AGO,2017,37.48373967006935,20.85972785949707,,9.944428165697236,,12.925407381908547
AGO,2018,37.79495291888658,,,14.027210156980933,,19.18252013962884
ALB,2000,38.66066527313676,22.02201070055531,97.69288132656743,13.928578740811577,23.631409269873203,19.009125671562202
ALB,2001,35.92671124886776,21.362097815583127,89.17260180205794,13.408467867160915,15.392920431153687,17.52091869028091
ALB,2002,35.41382175253598,21.56847081074881,83.36528938080018,13.818074007618014,21.747240606456355,19.998382410165956
