metric,U_statistic,p_value,LOW_median,HIGH_median,LOW_n,HIGH_n,significant
degree,124.5,0.1024529134750422,0.2307692307692307,0.1538461538461538,13,14,False
betweenness,71.0,0.3217763670015973,0.0,0.04769230769230765,13,14,False
closeness,57.0,0.10402917405726314,0.2369562244329816,0.26536068394015905,13,14,False
eigenvector,133.0,0.04402679859151475,0.2324709062684621,0.00019044575290215,13,14,True
resistance_rate,26.0,0.001748436594696864,15.39713664942029,29.546308520140904,13,14,True
