"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2001","SE","Sweden",14.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2001","SI","Slovenia",53.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2001","SK","Slovakia",2.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2001","UK","United Kingdom",672.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","AT","Austria",55.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","BE","Belgium",309.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","BG","Bulgaria",38.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","CZ","Czechia",69.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","DE","Germany",197.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","DK","Denmark",7.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","EE","Estonia",1.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","EL","Greece",162.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","ES","Spain",279.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","FI","Finland",6.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","FR","France",548.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","HR","Croatia",103.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","HU","Hungary",37.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","IE","Ireland",424.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","IT","Italy",513.000000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates","N","2002","LU","Luxembourg",14.000000000,""
