"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","IT","Italy",8.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","LV","Latvia",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","MT","Malta",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","NL","Netherlands",6.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","NO","Norway",4.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","PL","Poland",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","PT","Portugal",3.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","RO","Romania",1.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","SE","Sweden",3.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","SI","Slovenia",1.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","AT","Austria",9.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","BG","Bulgaria",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","CY","Cyprus",1.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","DE","Germany",19.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","DK","Denmark",6.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","EE","Estonia",4.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","EL","Greece",30.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","ES","Spain",14.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","FI","Finland",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","FR","France",56.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","HR","Croatia",3.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","HU","Hungary",14.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","IE","Ireland",4.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","IS","Iceland",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","IT","Italy",10.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","LU","Luxembourg",1.000000000,""
