community,iso3,temp_group,mean_TXx,betweenness
0,NOR,LOW,24.89795016063936,0.0
0,IRL,LOW,26.605499241284523,0.0523076923076923
0,SWE,LOW,27.98441865307733,0.0
0,FIN,LOW,28.035916999295,0.0
0,GBR,LOW,28.138989422453125,0.0061538461538461
0,DNK,LOW,30.563736974564748,0.0
0,NLD,LOW,33.09558956535945,0.0092307692307692
0,DEU,LOW,33.54507040425084,0.3415384615384615
0,BEL,HIGH,33.657574474811554,0.0
0,AUT,HIGH,33.946101386204504,0.0
0,FRA,HIGH,34.71537494639422,0.4923076923076923
1,CZE,HIGH,33.759374782284866,0.5076923076923077
1,SVK,HIGH,34.18447706829043,0.5169230769230769
2,LVA,LOW,29.671598599803065,0.0
2,LTU,LOW,30.78710787854369,0.0
2,POL,LOW,32.895977354350954,0.5323076923076923
2,HRV,HIGH,34.77453206299487,0.1292307692307692
2,ITA,HIGH,34.97972259068534,0.0461538461538461
2,ROU,HIGH,35.05175222115874,0.0492307692307692
2,BGR,HIGH,36.30302321339115,0.0492307692307692
2,GRC,HIGH,36.74129166936665,0.0
3,ISL,LOW,19.561389817045363,0.0
3,EST,LOW,29.18794041469352,0.0769230769230769
3,SVN,HIGH,34.316205392476,0.0
3,HUN,HIGH,34.4362131694166,0.3138461538461538
3,ESP,HIGH,37.5860164259523,0.0
3,PRT,HIGH,37.94105510659372,0.0092307692307692
